연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
0,01-01 00:00,아산,0.19115323854660346,0.08305555555555555,0.07672634271099744,0.0,0.501
0,01-01 01:00,아산,0.18483412322274884,0.08666666666666667,0.04859335038363171,0.0,0.547
0,01-01 02:00,아산,0.18167456556082148,0.08722222222222221,0.02557544757033248,0.0,0.5700000000000001
0,01-01 03:00,아산,0.17377567140600317,0.4247222222222223,0.02813299232736573,0.0,0.627
0,01-01 04:00,아산,0.17061611374407584,0.0,0.010230179028132993,0.0,0.689
0,01-01 05:00,아산,0.17061611374407584,0.33194444444444443,0.03836317135549872,0.0,0.7100000000000001
0,01-01 06:00,아산,0.1769352290679305,0.3202777777777778,0.01278772378516624,0.0,0.7170000000000001
0,01-01 07:00,아산,0.18799368088467616,0.1463888888888889,0.02557544757033248,0.0,0.6970000000000001
0,01-01 08:00,아산,0.19747235387045814,0.06833333333333334,0.017902813299232736,0.0,0.635
0,01-01 09:00,아산,0.2211690363349131,0.9733333333333333,0.01278772378516624,0.0,0.5650000000000001
0,01-01 10:00,아산,0.22274881516587677,0.9883333333333334,0.03836317135549872,0.0,0.547
0,01-01 11:00,아산,0.23696682464454977,0.033888888888888885,0.03580562659846547,0.0,0.5609999999999999
0,01-01 12:00,아산,0.2638230647709321,0.7669444444444445,0.023017902813299233,0.0,0.533
0,01-01 13:00,아산,0.27804107424960506,0.638888888888889,0.03324808184143223,0.0,0.517
0,01-01 14:00,아산,0.27330173775671407,0.5425000000000001,0.030690537084398974,0.0,0.504
0,01-01 15:00,아산,0.2764612954186414,0.5805555555555556,0.030690537084398974,0.0,0.476
0,01-01 16:00,아산,0.2353870458135861,0.5469444444444445,0.020460358056265986,0.0,0.596
0,01-01 17:00,아산,0.2559241706161137,0.4591666666666667,0.017902813299232736,0.0,0.537
0,01-01 18:00,아산,0.2543443917851501,0.5186111111111111,0.03580562659846547,0.0,0.611
0,01-01 19:00,아산,0.26540284360189575,0.5694444444444444,0.03836317135549872,0.0,0.548
0,01-01 20:00,아산,0.2685624012638231,0.37527777777777777,0.03836317135549872,0.0,0.5359999999999999
0,01-01 21:00,아산,0.27804107424960506,0.35055555555555556,0.043478260869565216,0.0,0.47500000000000003
0,01-01 22:00,아산,0.2796208530805687,0.3255555555555556,0.06138107416879795,0.0,0.47500000000000003
0,01-01 23:00,아산,0.27804107424960506,0.2997222222222222,0.04603580562659847,0.0,0.5700000000000001
0,01-02 00:00,아산,0.27014218009478674,0.3255555555555556,0.05115089514066496,0.0,0.665
0,01-02 01:00,아산,0.2669826224328594,0.36083333333333334,0.0588235294117647,0.0,0.689
0,01-02 02:00,아산,0.2685624012638231,0.32944444444444443,0.04092071611253197,0.0,0.704
0,01-02 03:00,아산,0.2717219589257504,0.34444444444444444,0.043478260869565216,0.0,0.713
0,01-02 04:00,아산,0.27330173775671407,0.31833333333333336,0.03836317135549872,0.0,0.719
0,01-02 05:00,아산,0.27488151658767773,0.3036111111111111,0.043478260869565216,0.0,0.735
0,01-02 06:00,아산,0.2796208530805687,0.2638888888888889,0.020460358056265986,0.0,0.726
0,01-02 07:00,아산,0.292259083728278,0.0,0.0,0.0,0.7170000000000001
0,01-02 08:00,아산,0.3033175355450237,0.3738888888888889,0.05115089514066496,0.0,0.6709999999999999
0,01-02 09:00,아산,0.3364928909952607,0.4041666666666667,0.02813299232736573,0.0,0.618
0,01-02 10:00,아산,0.34281200631911535,0.03361111111111111,0.02557544757033248,0.0,0.626
0,01-02 11:00,아산,0.353870458135861,0.9941666666666666,0.04859335038363171,0.0,0.63
0,01-02 12:00,아산,0.36650868878357035,0.0022222222222222222,0.04603580562659847,0.0,0.645
0,01-02 13:00,아산,0.3854660347551343,0.9561111111111111,0.015345268542199487,0.0,0.609
0,01-02 14:00,아산,0.37440758293838866,0.006388888888888888,0.020460358056265986,0.0,0.628
0,01-02 15:00,아산,0.3570300157977883,0.9833333333333334,0.03324808184143223,0.0,0.6539999999999999
0,01-02 16:00,아산,0.3570300157977883,0.14222222222222222,0.017902813299232736,0.0,0.6809999999999999
0,01-02 17:00,아산,0.3522906793048973,0.32833333333333337,0.023017902813299233,0.0,0.7020000000000001
