Id,SalePrice
1461,135074.02
1462,111970.71
1463,187220.53
1464,193118.58
1465,172476.86
1466,172295.88
1467,168993.42
1468,156263.08
1469,170541.14
1470,134390.98
1471,199089.67
1472,96276.055
1473,98919.69
1474,145079.53
1475,105288.05
1476,289291.38
1477,215190.98
1478,248984.28
1479,237524.31
1480,496534.22
1481,293087.88
1482,173947.75
1483,153065.52
1484,155162.53
1485,155807.5
1486,184281.69
1487,331916.5
1488,220872.38
1489,175608.42
1490,237304.48
1491,181835.83
1492,103637.82
1493,174995.77
1494,244892.55
1495,269288.62
1496,225058.27
1497,177525.67
1498,144063.9
1499,142942.08
1500,146793.31
1501,168706.39
1502,141248.8
1503,270072.84
1504,223884.6
1505,220905.34
1506,208055.98
1507,273965.2
1508,203275.98
1509,152103.45
1510,157783.25
1511,157825.7
1512,206162.73
1513,143567.27
1514,161280.22
1515,190386.64
1516,156184.0
1517,143375.84
1518,161741.12
1519,219198.48
1520,137242.14
1521,149242.14
1522,184946.89
1523,115115.0
1524,113010.66
1525,122552.91
1526,107116.19
1527,108144.92
1528,129113.42
1529,150583.28
1530,184200.8
1531,141275.48
1532,102303.516
1533,170726.27
1534,117108.11
1535,159469.33
1536,111064.95
1537,99609.84
1538,135950.62
1539,183969.83
1540,137742.86
1541,152740.77
1542,155529.33
1543,172724.73
1544,87411.19
1545,105664.164
1546,127354.91
1547,129806.414
1548,129704.69
1549,129988.89
1550,140386.58
1551,130464.445
1552,170822.39
1553,145290.73
1554,117394.39
1555,179077.1
1556,108698.58
1557,117476.92
1558,109496.234
1559,122245.72
1560,154468.73
1561,153271.2
1562,123085.75
1563,124102.84
1564,185448.83
1565,156276.98
1566,220970.23
1567,95523.31
1568,244281.17
1569,154454.28
1570,129014.06
1571,112104.87
1572,151909.45
1573,213718.23
1574,150115.16
1575,249019.05
1576,260612.75
1577,166418.66
1578,137742.34
1579,141766.61
1580,183071.67
1581,142585.02
1582,117210.98
1583,336929.34
1584,225523.52
1585,139563.95
1586,70536.734
1587,101908.8
1588,151678.8
1589,125031.18
1590,125471.305
1591,97415.1
1592,128868.55
1593,115319.21
1594,139406.48
1595,134833.3
1596,206133.89
1597,201746.12
1598,171107.86
1599,156514.64
1600,154115.45
1601,82021.73
1602,134407.02
1603,102563.84
1604,257245.38
1605,220686.05
1606,158563.64
1607,210333.8
1608,188618.61
1609,157388.75
1610,138024.73
1611,130581.234
1612,179815.72
1613,179048.5
1614,138287.39
1615,94803.56
1616,86272.96
1617,99990.8
1618,117367.79
1619,132976.02
1620,214563.27
1621,141845.45
