연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.05260099470615387
4,01-03 01:00,공주,0.057527974247932434
4,01-03 02:00,공주,0.06355830281972885
4,01-03 03:00,공주,0.06311894953250885
4,01-03 04:00,공주,0.06420187652111053
4,01-03 05:00,공주,0.06332030892372131
4,01-03 06:00,공주,0.06715443730354309
4,01-03 07:00,공주,0.06673149764537811
4,01-03 08:00,공주,0.06825147569179535
4,01-03 09:00,공주,0.06881898641586304
4,01-03 10:00,공주,0.06840914487838745
4,01-03 11:00,공주,0.06875734776258469
4,01-03 12:00,공주,0.06906217336654663
4,01-03 13:00,공주,0.0699506551027298
4,01-03 14:00,공주,0.07082198560237885
4,01-03 15:00,공주,0.07232698798179626
4,01-03 16:00,공주,0.07244432717561722
4,01-03 17:00,공주,0.07389943301677704
4,01-03 18:00,공주,0.07451246678829193
4,01-03 19:00,공주,0.0765223354101181
4,01-03 20:00,공주,0.07759818434715271
4,01-03 21:00,공주,0.08025115728378296
4,01-03 22:00,공주,0.08188478648662567
4,01-03 23:00,공주,0.08470623195171356
4,01-04 00:00,공주,0.08668650686740875
4,01-04 01:00,공주,0.08882185816764832
4,01-04 02:00,공주,0.08984071016311646
4,01-04 03:00,공주,0.09079792350530624
4,01-04 04:00,공주,0.09090402722358704
4,01-04 05:00,공주,0.09104110300540924
4,01-04 06:00,공주,0.09081526100635529
4,01-04 07:00,공주,0.09064877778291702
4,01-04 08:00,공주,0.09026460349559784
4,01-04 09:00,공주,0.0898909866809845
4,01-04 10:00,공주,0.0894961878657341
4,01-04 11:00,공주,0.08919224143028259
4,01-04 12:00,공주,0.08892279863357544
4,01-04 13:00,공주,0.08871833980083466
4,01-04 14:00,공주,0.08855903148651123
4,01-04 15:00,공주,0.08844922482967377
4,01-04 16:00,공주,0.0883842259645462
4,01-04 17:00,공주,0.08834865689277649
4,01-04 18:00,공주,0.08834286034107208
4,01-04 19:00,공주,0.08835016191005707
4,01-04 20:00,공주,0.08837064355611801
4,01-04 21:00,공주,0.08839376270771027
4,01-04 22:00,공주,0.08841881155967712
4,01-04 23:00,공주,0.08844196051359177
4,01-05 00:00,공주,0.08846284449100494
4,01-05 01:00,공주,0.08847978711128235
4,01-05 02:00,공주,0.08849315345287323
4,01-05 03:00,공주,0.08850283920764923
4,01-05 04:00,공주,0.08850936591625214
4,01-05 05:00,공주,0.0885133147239685
4,01-05 06:00,공주,0.08851519972085953
4,01-05 07:00,공주,0.08851563930511475
4,01-05 08:00,공주,0.08851507306098938
4,01-05 09:00,공주,0.08851391077041626
4,01-05 10:00,공주,0.08851245045661926
4,01-05 11:00,공주,0.08851093053817749
4,01-05 12:00,공주,0.08850948512554169
4,01-05 13:00,공주,0.0885082259774208
4,01-05 14:00,공주,0.08850718289613724
4,01-05 15:00,공주,0.08850637823343277
4,01-05 16:00,공주,0.08850578963756561
