연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.051395613700151443
4,01-03 01:00,공주,0.05866101384162903
4,01-03 02:00,공주,0.052316248416900635
4,01-03 03:00,공주,0.05894721671938896
4,01-03 04:00,공주,0.05405062809586525
4,01-03 05:00,공주,0.05844319611787796
4,01-03 06:00,공주,0.05468826740980148
4,01-03 07:00,공주,0.05767301470041275
4,01-03 08:00,공주,0.05487627163529396
4,01-03 09:00,공주,0.05693364888429642
4,01-03 10:00,공주,0.05483997240662575
4,01-03 11:00,공주,0.056190285831689835
4,01-03 12:00,공주,0.05470401421189308
4,01-03 13:00,공주,0.05560796335339546
4,01-03 14:00,공주,0.054537829011678696
4,01-03 15:00,공주,0.05511976405978203
4,01-03 16:00,공주,0.05433383956551552
4,01-03 17:00,공주,0.054688710719347
4,01-03 18:00,공주,0.0540996678173542
4,01-03 19:00,공주,0.05429718270897865
4,01-03 20:00,공주,0.05384574830532074
4,01-03 21:00,공주,0.05393555760383606
4,01-03 22:00,공주,0.0535808801651001
4,01-03 23:00,공주,0.05359808728098869
4,01-04 00:00,공주,0.053311530500650406
4,01-04 01:00,공주,0.05328004062175751
4,01-04 02:00,공주,0.05304153263568878
4,01-04 03:00,공주,0.05297774448990822
4,01-04 04:00,공주,0.05277333781123161
4,01-04 05:00,공주,0.05268855765461922
4,01-04 06:00,공주,0.05250861495733261
4,01-04 07:00,공주,0.05241059511899948
4,01-04 08:00,공주,0.05224847421050072
4,01-04 09:00,공주,0.05214250832796097
4,01-04 10:00,공주,0.051993634551763535
4,01-04 11:00,공주,0.051883332431316376
4,01-04 12:00,공주,0.05174453184008598
4,01-04 13:00,공주,0.05163232609629631
4,01-04 14:00,공주,0.051501400768756866
4,01-04 15:00,공주,0.05138891562819481
4,01-04 16:00,공주,0.05126433074474335
4,01-04 17:00,공주,0.051152657717466354
4,01-04 18:00,공주,0.051033344119787216
4,01-04 19:00,공주,0.050923194736242294
4,01-04 20:00,공주,0.05080839991569519
4,01-04 21:00,공주,0.05070022866129875
4,01-04 22:00,공주,0.05058940500020981
4,01-04 23:00,공주,0.050483494997024536
4,01-05 00:00,공주,0.05037626251578331
4,01-05 01:00,공주,0.05027277022600174
4,01-05 02:00,공주,0.05016883835196495
4,01-05 03:00,공주,0.050067853182554245
4,01-05 04:00,공주,0.049967002123594284
4,01-05 05:00,공주,0.04986855015158653
4,01-05 06:00,공주,0.04977061226963997
4,01-05 07:00,공주,0.049674682319164276
4,01-05 08:00,공주,0.049579523503780365
4,01-05 09:00,공주,0.04948610067367554
4,01-05 10:00,공주,0.04939360171556473
4,01-05 11:00,공주,0.04930264875292778
4,01-05 12:00,공주,0.04921269789338112
4,01-05 13:00,공주,0.04912417009472847
4,01-05 14:00,공주,0.04903668537735939
4,01-05 15:00,공주,0.048950519412755966
4,01-05 16:00,공주,0.0488654226064682
4,01-05 17:00,공주,0.04878157004714012
4,01-05 18:00,공주,0.0486987829208374
4,01-05 19:00,공주,0.04861718788743019
4,01-05 20:00,공주,0.04853663966059685
4,01-05 21:00,공주,0.04845723137259483
4,01-05 22:00,공주,0.04837886989116669
4,01-05 23:00,공주,0.048301588743925095
4,01-08 00:00,공주,0.0759112536907196
4,01-08 01:00,공주,0.09353043138980865
4,01-08 02:00,공주,0.08049364387989044
