,id,count
0,0,90.833466
1,1,215.52931
2,2,73.92409
3,4,99.878426
4,5,105.16072
5,10,129.69397
6,11,135.91429
7,12,194.76292
8,15,67.86427
9,17,40.037273
10,18,207.9571
11,23,201.88423
12,25,161.17621
13,26,78.85391
14,31,187.0112
15,39,175.15065
16,40,53.364513
17,41,139.14613
18,42,
19,43,172.25706
20,51,204.41368
21,52,63.038486
22,54,85.18873
23,60,160.70267
24,61,180.97612
25,62,145.81915
26,63,46.546085
27,65,135.55605
28,66,124.074455
29,68,174.46263
30,71,54.549873
31,80,86.091866
32,82,
33,94,179.44975
34,98,194.36565
35,101,80.25013
36,102,166.94038
37,107,110.001595
38,112,208.48952
39,113,74.28876
40,115,
41,116,158.65593
42,120,89.766846
43,121,73.23462
44,122,212.37193
45,132,163.9204
46,143,58.13093
47,147,
48,150,66.08422
49,151,67.55329
50,152,199.02342
51,153,89.89736
52,155,75.567314
53,156,114.50279
54,159,189.24074
55,161,86.589294
56,163,83.568596
57,177,169.06364
58,186,82.976585
59,188,67.63045
60,190,81.10944
61,191,91.23289
62,192,167.15558
63,195,201.5277
64,200,171.13576
65,209,199.78032
66,210,67.69303
67,211,217.8869
68,214,165.58275
69,215,86.44674
70,218,144.59961
71,219,45.011803
72,222,100.0019
73,225,60.33079
74,228,214.82207
75,236,199.8658
76,241,79.02319
77,242,174.03667
78,243,211.99965
79,245,73.26316
80,247,205.00282
81,251,182.06766
82,252,84.32023
83,253,66.82133
84,254,74.16941
85,258,198.47484
86,260,
87,261,171.97255
88,265,68.74683
89,266,194.18234
90,267,186.86717
91,269,163.4308
92,270,
93,275,143.2267
94,278,80.69773
95,279,54.235493
96,286,106.27422
97,287,66.11242
98,288,192.71446
99,289,169.66862
100,293,83.53657
101,294,171.05183
102,297,
103,302,106.56466
104,303,68.740074
105,304,110.44533
106,307,135.04135
107,309,63.76164
108,311,194.54353
109,312,135.38371
110,314,196.76228
111,315,205.78075
112,319,182.34084
113,322,152.54265
114,323,
115,325,177.9842
116,327,194.4951
117,330,63.3221
118,332,192.06828
119,333,80.51044
120,338,152.4279
121,341,77.83455
122,345,144.42075
123,348,152.57939
124,349,95.73995
125,350,122.44715
126,352,
127,355,49.025764
128,356,
129,358,
130,363,169.62617
131,369,183.98705
132,371,67.465805
133,372,187.22102
134,375,207.67493
135,380,180.09346
136,388,83.298164
137,391,
138,392,174.43086
139,393,205.00551
140,394,87.76847
141,396,63.28874
142,401,60.616486
143,407,47.573235
144,409,84.33913
145,410,130.84265
146,416,110.99485
147,418,121.465355
148,420,185.136
149,421,197.45155
150,422,184.43245
151,424,211.51013
152,428,183.35912
153,429,199.68248
154,431,161.1339
155,435,22.83951
156,439,110.040855
157,441,56.794598
158,447,76.45014
159,449,186.3868
160,451,194.49336
161,452,82.24587
162,454,167.54408
163,458,197.85332
164,463,170.55666
165,467,72.25802
166,470,134.48436
167,471,151.68723
168,474,198.46193
169,478,91.54455
170,483,104.9684
171,484,154.08382
172,485,81.84745
173,486,164.6035
174,491,123.44387
175,494,99.30161
176,495,179.76237
177,497,174.0034
178,499,201.29356
179,515,136.64801
180,518,178.08122
181,521,100.810104
182,525,
183,529,191.29285
184,532,166.32207
185,534,66.04532
186,540,77.80857
187,544,211.53532
188,547,179.22151
189,549,90.740456
190,563,58.606503
191,564,194.05067
192,567,110.10152
193,572,153.75313
194,577,170.51448
195,578,211.59476
196,585,199.38475
197,588,190.79128
198,589,166.70924
199,590,131.9604
200,592,80.70438
201,594,136.00146
202,596,73.92138
203,598,196.77904
204,599,175.45503
205,605,84.226685
206,606,153.50702
207,607,184.18236
208,608,185.75975
209,609,
210,610,189.49373
211,611,102.55837
212,614,
213,615,167.93214
214,616,186.91026
215,617,153.85878
216,618,179.34041
217,624,113.59144
218,629,180.14128
219,631,97.33436
220,633,89.099434
221,637,78.46877
222,638,143.91403
223,643,
224,644,167.95203
225,645,66.92025
226,646,167.31595
227,648,159.48268
228,650,76.432434
229,651,99.88008
230,652,211.20772
231,656,153.83263
232,657,93.599464
233,659,74.1348
234,660,161.10524
235,662,143.7586
236,665,201.38332
237,675,
238,681,157.90135
239,682,176.27107
240,685,68.054375
241,686,194.15372
242,689,73.24808
243,696,156.64322
244,703,175.9372
245,704,121.6119
246,705,153.80421
247,714,178.79695
248,717,75.22241
249,718,83.69428
250,720,79.20067
251,721,208.1292
252,723,186.53879
253,726,95.12032
254,728,176.74635
255,730,101.11866
256,731,83.66105
257,734,214.592
258,737,59.799885
259,738,78.21674
260,745,197.02562
261,746,78.89178
262,749,175.87178
263,752,69.97544
264,753,82.75233
265,758,180.05827
266,765,89.76269
267,766,192.36476
268,768,69.99784
269,769,193.18805
270,774,173.62724
271,775,119.00091
272,781,
273,784,196.24184
274,794,104.89236
275,795,206.83028
276,796,74.26884
277,802,131.72346
278,803,105.990166
279,805,67.32763
280,806,202.86122
281,807,129.94136
282,809,57.536552
283,810,191.20888
284,812,90.269485
285,814,109.12075
286,818,184.80867
287,819,204.60603
288,825,3.5952516
289,836,91.632286
290,839,160.70592
291,847,202.21236
292,848,87.90249
293,851,173.48817
294,852,168.44786
295,853,55.081738
296,857,178.66084
297,858,94.507454
298,859,183.78807
299,861,12.752848
300,867,143.6124
301,870,170.98134
302,871,196.64507
303,872,215.06435
304,874,216.99013
305,881,204.64146
306,886,163.60388
307,890,
308,895,172.2863
309,899,75.115616
310,900,193.20988
311,901,200.52531
312,902,193.23056
313,903,85.81958
314,913,207.28978
315,918,202.0303
316,923,158.14604
317,924,69.96314
318,926,62.733486
319,927,79.438545
320,930,169.80775
321,934,54.175648
322,937,167.41158
323,939,138.98537
324,941,92.04665
325,942,214.30396
326,946,190.86403
327,950,127.42245
328,953,76.52076
329,959,57.82327
330,961,50.77621
331,962,90.38075
332,964,103.41862
333,969,161.7948
334,971,154.86427
335,976,70.33275
336,978,186.4259
337,980,194.70247
338,981,169.02821
339,990,206.78514
340,993,68.982925
341,996,80.00756
342,998,206.47098
343,999,185.05862
344,1006,157.30989
345,1008,78.70078
346,1013,81.774574
347,1015,119.82891
348,1016,161.01616
349,1022,200.05644
350,1026,179.7929
351,1028,203.7156
352,1031,37.30853
353,1034,
354,1037,196.05867
355,1040,
356,1042,76.492546
357,1046,104.36024
358,1048,120.10166
359,1049,151.96683
360,1050,
361,1051,191.31512
362,1052,192.6428
363,1055,100.46818
364,1060,164.51701
365,1064,103.277794
366,1066,69.25784
367,1071,162.98174
368,1073,76.8026
369,1089,185.14632
370,1091,124.599464
371,1092,67.88782
372,1093,195.28944
373,1096,197.21135
374,1097,172.74431
375,1098,62.98646
376,1099,76.58628
377,1102,204.51753
378,1107,89.83527
379,1109,85.83095
380,1111,55.570293
381,1112,143.58154
382,1114,221.29855
383,1116,196.49568
384,1117,164.32738
385,1118,78.60749
386,1122,
387,1124,178.17992
388,1127,104.30483
389,1133,193.54497
390,1134,70.75282
391,1135,157.1719
392,1139,197.82794
393,1143,
394,1150,95.04963
395,1151,134.19589
396,1153,199.94562
397,1155,72.835625
398,1162,70.35577
399,1163,171.9161
400,1166,17.817638
401,1171,82.0889
402,1172,61.824596
403,1173,199.95389
404,1174,96.45623
405,1177,118.15159
406,1178,119.61812
407,1184,94.455635
408,1185,141.7996
409,1186,96.36094
410,1187,193.48122
411,1188,208.5511
412,1191,173.29056
413,1207,127.56074
414,1213,91.58255
415,1215,171.09674
416,1223,197.0277
417,1227,144.44699
418,1236,
419,1237,
420,1238,102.40145
421,1241,60.36265
422,1248,81.64164
423,1250,65.158005
424,1251,186.17345
425,1253,105.9244
426,1255,131.015
427,1257,197.62935
428,1261,112.665764
429,1262,199.03215
430,1265,156.95328
431,1273,201.90236
432,1277,184.36546
433,1278,136.77501
434,1280,96.446266
435,1284,158.83324
436,1285,212.78105
437,1288,93.65758
438,1295,135.33626
439,1297,217.91914
440,1299,201.59767
441,1304,168.64445
442,1308,74.396095
443,1310,124.3997
444,1311,148.58366
445,1314,90.64474
446,1315,134.31026
447,1318,34.47224
448,1320,217.71617
449,1321,196.13248
450,1322,171.06593
451,1330,160.35133
452,1333,185.86183
453,1334,165.10966
454,1341,171.1686
455,1344,147.27315
456,1351,183.08006
457,1354,79.37674
458,1356,
