id,count
0,96.57763
1,223.3514
2,79.293
4,106.71242
5,109.481766
10,136.24892
11,142.5369
12,202.3508
15,73.38364
17,44.36267
18,215.23796
23,208.48448
25,166.9086
26,84.71222
31,194.1123
39,181.88634
40,58.64659
41,146.08586
42,
43,178.8893
51,212.13268
52,68.072586
54,91.271164
60,168.17622
61,187.43138
62,152.50687
63,51.77002
65,142.08412
66,131.08401
68,180.45563
71,60.705322
80,92.03494
82,
94,186.96469
98,201.48766
101,85.76565
102,174.5628
107,116.08489
112,215.61147
113,79.197655
115,
116,165.24503
120,95.86624
121,77.30898
122,220.12505
132,170.49557
143,63.63584
147,
150,71.416504
151,73.97057
152,206.82378
153,97.26106
155,81.062035
156,121.32276
159,196.22491
161,92.81465
163,90.15827
177,176.06429
186,88.7248
188,74.24788
190,87.99935
191,96.663704
192,173.17314
195,209.00504
200,177.51721
209,207.48401
210,72.587
211,224.9546
214,172.05316
215,92.91643
218,150.90614
219,50.002594
222,106.19888
225,65.77934
228,221.90892
236,206.97266
241,85.15248
242,181.29065
243,218.915
245,80.425514
247,212.1583
251,188.69234
252,90.50548
253,72.8088
254,78.94048
258,205.75691
260,
261,178.84929
265,75.45887
266,201.70871
267,193.03413
269,170.17738
270,
275,149.36508
278,87.56998
279,59.40927
286,113.085884
287,72.39439
288,199.51129
289,176.16252
293,89.88617
294,177.38167
297,
302,112.22034
303,74.17717
304,114.94399
307,142.21803
309,69.53755
311,201.92448
312,141.418
314,204.60683
315,212.83115
319,188.91217
322,159.15303
323,
325,184.81001
327,201.5316
330,69.220924
332,198.8512
333,86.72918
338,159.91132
341,83.31925
345,151.11327
348,159.35083
349,102.61958
350,129.03905
352,
355,53.931458
356,
358,
363,176.64156
369,191.43024
371,72.92914
372,193.89159
375,214.98033
380,186.29195
388,89.642914
391,
392,180.6867
393,212.68988
394,93.023155
396,69.89674
401,65.85578
407,54.599033
409,91.28822
410,137.06357
416,116.20209
418,127.92063
420,192.26646
421,204.31909
422,191.63367
424,218.31815
428,189.8712
429,206.57147
431,167.09607
435,27.092571
439,116.448425
441,61.94028
447,82.36654
449,192.45923
451,201.90428
452,88.671906
454,173.54607
458,205.2852
463,177.92639
467,77.9333
470,140.93239
471,158.43416
474,205.9592
478,98.327385
483,110.75803
484,160.28015
485,89.320854
486,171.60966
491,129.0914
494,104.9146
495,185.70355
497,180.43893
499,208.15329
515,143.1072
518,185.19615
521,107.23347
525,
529,199.02794
532,173.78493
534,72.87439
540,84.2224
544,218.00328
547,185.94548
549,97.80103
563,64.459724
564,201.69415
567,115.390686
572,159.81062
577,176.49802
578,218.67805
585,206.27893
588,197.54796
589,173.04927
590,138.79391
592,85.906586
594,142.80533
596,79.52947
598,203.41428
599,182.24419
605,90.32576
606,160.1693
607,190.60052
608,192.28152
609,
610,197.0404
611,109.20949
614,
615,175.03769
616,194.29277
617,160.86551
618,185.2887
624,119.18594
629,188.24698
631,105.21365
633,94.50608
637,85.13629
638,149.62257
643,
644,174.6782
645,73.189064
646,173.07497
648,166.25424
650,83.087975
651,105.3079
652,218.96957
656,160.0852
657,100.43249
659,79.3945
660,167.36725
662,150.67609
665,209.28476
675,
681,164.52208
682,184.09885
685,74.104706
686,201.28932
689,79.46405
