,ID,Book-Rating
0,TEST_000000,5.015
1,TEST_000001,6.02
2,TEST_000002,4.627
3,TEST_000003,5.396
4,TEST_000004,4.903
5,TEST_000005,5.182
6,TEST_000006,5.082
7,TEST_000007,4.17
8,TEST_000008,4.626
9,TEST_000009,4.416
10,TEST_000010,3.948
11,TEST_000011,4.94
12,TEST_000012,4.728
13,TEST_000013,4.428
14,TEST_000014,4.655
15,TEST_000015,4.751
16,TEST_000016,4.583
17,TEST_000017,2.667
18,TEST_000018,2.137
19,TEST_000019,7.471
20,TEST_000020,7.287
21,TEST_000021,4.167
22,TEST_000022,4.029
23,TEST_000023,6.983
24,TEST_000024,5.223
25,TEST_000025,4.728
26,TEST_000026,3.577
27,TEST_000027,2.844
28,TEST_000028,0.197
29,TEST_000029,2.747
30,TEST_000030,1.485
31,TEST_000031,0.134
32,TEST_000032,0.204
33,TEST_000033,0.209
34,TEST_000034,3.655
35,TEST_000035,3.185
36,TEST_000036,4.057
37,TEST_000037,4.564
38,TEST_000038,4.221
39,TEST_000039,4.134
40,TEST_000040,3.578
41,TEST_000041,1.199
42,TEST_000042,1.953
43,TEST_000043,3.316
44,TEST_000044,4.245
45,TEST_000045,3.558
46,TEST_000046,3.582
47,TEST_000047,5.35
48,TEST_000048,5.171
49,TEST_000049,4.161
50,TEST_000050,5.91
51,TEST_000051,4.129
52,TEST_000052,4.287
53,TEST_000053,3.568
54,TEST_000054,3.799
55,TEST_000055,3.965
56,TEST_000056,4.005
57,TEST_000057,4.568
58,TEST_000058,2.691
59,TEST_000059,2.353
60,TEST_000060,2.372
61,TEST_000061,2.13
62,TEST_000062,2.729
63,TEST_000063,2.301
64,TEST_000064,3.263
65,TEST_000065,3.932
66,TEST_000066,3.522
67,TEST_000067,4.331
68,TEST_000068,5.229
69,TEST_000069,4.567
70,TEST_000070,4.62
71,TEST_000071,2.731
72,TEST_000072,4.811
73,TEST_000073,3.625
74,TEST_000074,5.658
75,TEST_000075,3.675
76,TEST_000076,2.187
77,TEST_000077,2.146
78,TEST_000078,2.744
79,TEST_000079,3.22
80,TEST_000080,2.437
81,TEST_000081,2.641
82,TEST_000082,2.497
83,TEST_000083,2.416
84,TEST_000084,1.382
85,TEST_000085,2.644
86,TEST_000086,1.978
87,TEST_000087,2.713
88,TEST_000088,2.08
89,TEST_000089,2.961
90,TEST_000090,3.309
91,TEST_000091,3.373
92,TEST_000092,3.149
93,TEST_000093,2.739
94,TEST_000094,3.166
95,TEST_000095,2.874
96,TEST_000096,0.604
97,TEST_000097,0.38
98,TEST_000098,4.954
99,TEST_000099,3.701
100,TEST_000100,1.761
101,TEST_000101,3.697
102,TEST_000102,5.192
103,TEST_000103,3.174
104,TEST_000104,5.226
105,TEST_000105,4.557
106,TEST_000106,4.229
107,TEST_000107,2.219
108,TEST_000108,3.716
109,TEST_000109,4.161
110,TEST_000110,3.732
111,TEST_000111,5.11
112,TEST_000112,3.31
113,TEST_000113,4.644
114,TEST_000114,3.905
115,TEST_000115,4.686
116,TEST_000116,3.137
117,TEST_000117,4.442
118,TEST_000118,4.913
119,TEST_000119,2.307
120,TEST_000120,4.615
121,TEST_000121,3.947
122,TEST_000122,4.68
123,TEST_000123,3.197
124,TEST_000124,4.039
125,TEST_000125,4.927
126,TEST_000126,2.863
127,TEST_000127,5.153
128,TEST_000128,4.453
129,TEST_000129,4.077
130,TEST_000130,3.309
131,TEST_000131,3.443
132,TEST_000132,3.276
133,TEST_000133,2.63
134,TEST_000134,3.422
135,TEST_000135,4.828
136,TEST_000136,5.953
137,TEST_000137,2.954
138,TEST_000138,4.73
139,TEST_000139,3.938
140,TEST_000140,4.204
141,TEST_000141,5.021
142,TEST_000142,4.308
143,TEST_000143,4.372
144,TEST_000144,4.608
145,TEST_000145,3.405
146,TEST_000146,3.193
147,TEST_000147,4.986
148,TEST_000148,4.724
149,TEST_000149,2.718
150,TEST_000150,4.64
151,TEST_000151,3.183
152,TEST_000152,4.636
153,TEST_000153,4.493
154,TEST_000154,6.042
155,TEST_000155,4.605
156,TEST_000156,5.402
157,TEST_000157,2.014
158,TEST_000158,3.407
159,TEST_000159,3.858
160,TEST_000160,4.804
161,TEST_000161,4.724
162,TEST_000162,5.505
163,TEST_000163,4.154
164,TEST_000164,3.97
165,TEST_000165,5.081
166,TEST_000166,4.712
167,TEST_000167,7.153
168,TEST_000168,4.408
169,TEST_000169,4.645
170,TEST_000170,4.569
171,TEST_000171,2.646
172,TEST_000172,3.325
173,TEST_000173,3.743
174,TEST_000174,4.817
175,TEST_000175,4.31
176,TEST_000176,4.564
177,TEST_000177,5.812
178,TEST_000178,4.791
179,TEST_000179,6.035
180,TEST_000180,3.997
181,TEST_000181,2.439
182,TEST_000182,6.161
183,TEST_000183,3.523
184,TEST_000184,4.298
185,TEST_000185,4.742
186,TEST_000186,4.61
187,TEST_000187,1.94
188,TEST_000188,5.144
189,TEST_000189,1.647
190,TEST_000190,4.861
191,TEST_000191,3.498
192,TEST_000192,4.083
193,TEST_000193,5.916
194,TEST_000194,1.338
195,TEST_000195,1.697
196,TEST_000196,2.541
197,TEST_000197,1.59
198,TEST_000198,1.996
199,TEST_000199,1.308
200,TEST_000200,2.069
201,TEST_000201,2.401
202,TEST_000202,2.266
203,TEST_000203,1.703
204,TEST_000204,2.246
205,TEST_000205,1.707
206,TEST_000206,2.342
207,TEST_000207,2.032
208,TEST_000208,1.55
209,TEST_000209,1.182
210,TEST_000210,1.283
211,TEST_000211,0.789
212,TEST_000212,2.147
