,ID,Book-Rating
0,TEST_000000,4.834
1,TEST_000001,5.645
2,TEST_000002,5.466
3,TEST_000003,5.193
4,TEST_000004,4.949
5,TEST_000005,4.81
6,TEST_000006,4.846
7,TEST_000007,4.016
8,TEST_000008,4.038
9,TEST_000009,4.165
10,TEST_000010,4.791
11,TEST_000011,4.609
12,TEST_000012,4.461
13,TEST_000013,4.421
14,TEST_000014,4.498
15,TEST_000015,4.369
16,TEST_000016,4.542
17,TEST_000017,2.719
18,TEST_000018,2.306
19,TEST_000019,7.424
20,TEST_000020,6.884
21,TEST_000021,4.45
22,TEST_000022,4.713
23,TEST_000023,7.389
24,TEST_000024,5.508
25,TEST_000025,5.403
26,TEST_000026,4.613
27,TEST_000027,2.813
28,TEST_000028,0.653
29,TEST_000029,2.967
30,TEST_000030,1.393
31,TEST_000031,0.754
32,TEST_000032,0.884
33,TEST_000033,0.715
34,TEST_000034,3.558
35,TEST_000035,4.161
36,TEST_000036,5.551
37,TEST_000037,4.65
38,TEST_000038,4.039
39,TEST_000039,4.338
40,TEST_000040,3.543
41,TEST_000041,2.184
42,TEST_000042,2.775
43,TEST_000043,2.749
44,TEST_000044,4.64
45,TEST_000045,3.964
46,TEST_000046,4.235
47,TEST_000047,4.936
48,TEST_000048,5.269
49,TEST_000049,4.274
50,TEST_000050,5.517
51,TEST_000051,3.822
52,TEST_000052,3.736
53,TEST_000053,3.896
54,TEST_000054,4.005
55,TEST_000055,4.733
56,TEST_000056,4.255
57,TEST_000057,4.499
58,TEST_000058,1.539
59,TEST_000059,1.088
60,TEST_000060,1.513
61,TEST_000061,1.241
62,TEST_000062,1.716
63,TEST_000063,1.514
64,TEST_000064,3.969
65,TEST_000065,4.368
66,TEST_000066,3.213
67,TEST_000067,4.392
68,TEST_000068,5.195
69,TEST_000069,3.925
70,TEST_000070,4.18
71,TEST_000071,4.453
72,TEST_000072,4.508
73,TEST_000073,4.223
74,TEST_000074,5.144
75,TEST_000075,3.671
76,TEST_000076,2.533
77,TEST_000077,2.855
78,TEST_000078,2.902
79,TEST_000079,3.273
80,TEST_000080,2.983
81,TEST_000081,2.423
82,TEST_000082,2.862
83,TEST_000083,2.629
84,TEST_000084,2.552
85,TEST_000085,2.863
86,TEST_000086,2.527
87,TEST_000087,3.206
88,TEST_000088,2.584
89,TEST_000089,2.99
90,TEST_000090,3.36
91,TEST_000091,3.097
92,TEST_000092,3.205
93,TEST_000093,3.201
94,TEST_000094,3.035
95,TEST_000095,2.853
96,TEST_000096,0.669
97,TEST_000097,0.917
98,TEST_000098,4.804
99,TEST_000099,4.403
100,TEST_000100,4.123
101,TEST_000101,5.102
102,TEST_000102,5.376
103,TEST_000103,4.463
104,TEST_000104,4.439
105,TEST_000105,4.349
106,TEST_000106,4.329
107,TEST_000107,3.905
108,TEST_000108,4.282
109,TEST_000109,4.389
110,TEST_000110,4.794
111,TEST_000111,4.395
112,TEST_000112,5.919
113,TEST_000113,4.61
114,TEST_000114,4.231
115,TEST_000115,6.062
116,TEST_000116,3.659
117,TEST_000117,4.614
118,TEST_000118,5.771
119,TEST_000119,3.782
120,TEST_000120,4.875
121,TEST_000121,4.499
122,TEST_000122,4.594
123,TEST_000123,4.316
124,TEST_000124,4.34
125,TEST_000125,6.089
126,TEST_000126,3.678
127,TEST_000127,5.01
128,TEST_000128,5.456
129,TEST_000129,4.767
130,TEST_000130,4.765
131,TEST_000131,3.915
132,TEST_000132,4.379
133,TEST_000133,4.633
134,TEST_000134,3.982
135,TEST_000135,4.694
136,TEST_000136,6.424
137,TEST_000137,4.051
138,TEST_000138,4.406
139,TEST_000139,4.448
140,TEST_000140,4.081
141,TEST_000141,4.836
142,TEST_000142,4.535
143,TEST_000143,4.392
144,TEST_000144,4.458
145,TEST_000145,4.394
146,TEST_000146,5.887
147,TEST_000147,4.732
148,TEST_000148,4.663
149,TEST_000149,3.851
150,TEST_000150,4.642
151,TEST_000151,3.75
152,TEST_000152,4.929
153,TEST_000153,4.503
154,TEST_000154,6.388
155,TEST_000155,5.386
156,TEST_000156,4.255
157,TEST_000157,5.711
158,TEST_000158,4.488
159,TEST_000159,4.593
160,TEST_000160,6.096
161,TEST_000161,4.446
162,TEST_000162,4.171
163,TEST_000163,3.823
164,TEST_000164,4.354
165,TEST_000165,4.496
166,TEST_000166,6.062
167,TEST_000167,6.745
168,TEST_000168,4.1
169,TEST_000169,4.722
170,TEST_000170,4.571
171,TEST_000171,4.349
172,TEST_000172,4.335
173,TEST_000173,3.658
174,TEST_000174,4.729
175,TEST_000175,4.746
176,TEST_000176,4.551
177,TEST_000177,5.704
178,TEST_000178,4.261
179,TEST_000179,7.171
180,TEST_000180,4.436
181,TEST_000181,3.823
182,TEST_000182,5.435
183,TEST_000183,4.068
184,TEST_000184,4.679
185,TEST_000185,4.467
186,TEST_000186,4.444
187,TEST_000187,4.333
188,TEST_000188,6.331
189,TEST_000189,3.868
190,TEST_000190,4.649
191,TEST_000191,4.489
192,TEST_000192,4.403
193,TEST_000193,5.04
194,TEST_000194,1.562
195,TEST_000195,1.68
196,TEST_000196,2.436
197,TEST_000197,1.423
198,TEST_000198,1.852
199,TEST_000199,1.661
200,TEST_000200,2.215
201,TEST_000201,1.965
202,TEST_000202,2.23
203,TEST_000203,1.663
204,TEST_000204,2.397
205,TEST_000205,1.753
206,TEST_000206,2.153
207,TEST_000207,2.112
208,TEST_000208,1.557
209,TEST_000209,1.327
210,TEST_000210,1.501
211,TEST_000211,1.088
212,TEST_000212,2.251
213,TEST_000213,2.084
214,TEST_000214,1.584
215,TEST_000215,1.35
216,TEST_000216,1.422
217,TEST_000217,1.622
218,TEST_000218,2.794
219,TEST_000219,2.36
220,TEST_000220,2.643
221,TEST_000221,2.643
222,TEST_000222,5.011
223,TEST_000223,6.95
224,TEST_000224,4.841
225,TEST_000225,6.822
226,TEST_000226,4.473
227,TEST_000227,4.738
228,TEST_000228,5.1
229,TEST_000229,4.34
230,TEST_000230,4.765
231,TEST_000231,3.721
232,TEST_000232,4.164
233,TEST_000233,4.15
234,TEST_000234,3.814
235,TEST_000235,4.248
236,TEST_000236,3.273
237,TEST_000237,6.207
238,TEST_000238,4.737
239,TEST_000239,4.12
