date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.072,0.1990521327014218,0.0,0.0025575447570332,0.0,0.865
01-01 01:00,0.076,0.1879936808846761,0.2808333333333333,0.0818414322250639,0.0,0.875
01-01 02:00,0.08,0.1800947867298578,0.2755555555555555,0.0664961636828644,0.0,0.87
01-01 03:00,0.076,0.1769352290679305,0.2591666666666666,0.0332480818414322,0.0,0.8520000000000001
01-01 04:00,0.096,0.1611374407582938,0.2572222222222222,0.0204603580562659,0.0,0.8820000000000001
01-01 05:00,0.088,0.1500789889415481,0.2938888888888888,0.0434782608695652,0.0,0.898
01-01 06:00,0.1,0.1516587677725118,0.2372222222222222,0.0179028132992327,0.0,0.876
01-01 07:00,0.128,0.1785150078988941,0.3252777777777778,0.0434782608695652,0.0,0.8450000000000001
01-01 08:00,0.152,0.1943127962085308,0.2975,0.0537084398976982,0.0,0.7959999999999999
01-01 09:00,0.128,0.2164296998420221,0.3461111111111111,0.0613810741687979,0.0,0.731
01-01 10:00,,0.2306477093206951,0.2705555555555556,0.0818414322250639,0.0,0.6920000000000001
01-01 11:00,0.088,0.244865718799368,0.2688888888888889,0.0690537084398977,0.0,0.6539999999999999
01-01 12:00,0.092,0.2543443917851501,0.2772222222222222,0.0613810741687979,0.0,0.668
01-01 13:00,0.076,0.2575039494470774,0.3105555555555556,0.0588235294117647,0.0,0.662
01-01 14:00,0.092,0.2701421800947867,0.2847222222222222,0.0358056265984654,0.0,0.632
01-01 15:00,0.084,0.2654028436018957,0.265,0.0179028132992327,0.0,0.621
01-01 16:00,0.072,0.2369668246445497,0.0,0.0,0.0,0.726
01-01 17:00,0.112,0.2243285939968404,0.0,0.0,0.0,0.785
01-01 18:00,0.164,0.2195892575039494,0.8047222222222222,0.0332480818414322,0.0,0.828
01-01 19:00,0.168,0.2527646129541864,0.0,0.0,0.0,0.6689999999999999
01-01 20:00,0.148,0.2417061611374407,0.0,0.0,0.0,0.734
01-01 21:00,,0.2511848341232228,0.0,0.0,0.0,0.733
01-01 22:00,,0.2527646129541864,0.2369444444444444,0.0434782608695652,0.0,0.7839999999999999
01-01 23:00,0.132,0.2559241706161137,0.2447222222222222,0.0179028132992327,0.0,0.848
01-02 00:00,0.168,0.2622432859399684,0.2952777777777778,0.0204603580562659,0.0,0.861
01-02 01:00,0.124,0.2638230647709321,0.0,0.0,0.0,0.902
01-02 02:00,0.1,0.2622432859399684,0.0,0.0,0.0,0.944
01-02 03:00,0.108,0.2654028436018957,0.0,0.0,0.0,0.953
01-02 04:00,0.1,0.2669826224328594,0.0,0.0,0.0,0.956
01-02 05:00,0.108,0.2701421800947867,0.0,0.0,0.0,0.959
01-02 06:00,0.116,0.2701421800947867,0.2722222222222222,0.0409207161125319,0.0,0.956
01-02 07:00,0.132,0.282780410742496,0.0,0.0,0.0,0.941
01-02 08:00,0.132,0.2985781990521327,0.2997222222222222,0.0281329923273657,0.0,0.8770000000000001
01-02 09:00,0.14,0.3238546603475514,0.3322222222222222,0.0332480818414322,0.0,0.816
01-02 10:00,0.168,0.3791469194312796,0.3277777777777778,0.0306905370843989,0.0,0.709
01-02 11:00,0.184,0.4281200631911532,0.7077777777777778,0.0383631713554987,0.0,0.64
01-02 12:00,0.212,0.4265402843601896,0.8083333333333333,0.0562659846547314,0.0,0.577
01-02 13:00,0.12,0.3854660347551343,0.3194444444444445,0.0511508951406649,0.0,0.701
01-02 14:00,0.184,0.3838862559241706,0.2838888888888889,0.0537084398976982,0.0,0.733
01-02 15:00,0.22,0.3744075829383886,0.2872222222222222,0.0306905370843989,0.0,0.7370000000000001
01-02 16:00,0.228,0.3554502369668246,0.6727777777777778,0.0204603580562659,0.0,0.821
01-02 17:00,0.256,0.344391785150079,0.3161111111111111,0.0230179028132992,0.0,0.863
01-02 18:00,0.308,0.330173775671406,0.0,0.0,0.0,0.91
01-02 19:00,0.32,0.3143759873617693,0.0,0.0,0.0,0.922
01-02 20:00,0.296,0.3270142180094787,0.0,0.0,0.0,0.933
01-02 21:00,0.3,0.315955766192733,0.0,0.0,0.0,0.977
01-02 22:00,0.384,0.296998420221169,0.0,0.0,0.0,0.976
01-02 23:00,0.404,0.3143759873617693,0.0,0.0,0.0,0.977
01-03 00:00,0.352,0.2985781990521327,0.0,0.0,0.0,0.977
01-03 01:00,0.336,0.306477093206951,0.0,0.0025575447570332,0.0,0.973
01-03 02:00,0.328,0.3033175355450237,0.0,0.0,0.0,0.977
01-03 03:00,0.308,0.2938388625592417,0.0,0.0,0.0,0.97
01-03 04:00,0.336,0.2875197472353871,0.0,0.0,0.0,0.977
01-03 05:00,0.34,0.2954186413902054,0.0,0.0,0.0,0.971
01-03 06:00,0.328,0.315955766192733,0.2191666666666667,0.0230179028132992,0.0,0.936
01-03 07:00,,0.3380726698262243,0.2380555555555555,0.0332480818414322,0.0,0.839
01-03 08:00,0.332,0.363349131121643,0.2919444444444444,0.0434782608695652,0.0,0.79
01-03 09:00,0.4,0.3854660347551343,0.3375,0.0204603580562659,0.0,0.6920000000000001
01-03 10:00,0.364,0.4218009478672986,0.0,0.0,0.0,0.62
01-03 11:00,0.228,0.4344391785150079,0.0,0.0,0.0,0.618
01-03 12:00,0.248,0.4470774091627172,0.4597222222222222,0.0588235294117647,0.0,0.5519999999999999
01-03 13:00,0.124,0.4533965244865719,0.2766666666666666,0.0204603580562659,0.0,0.5619999999999999
01-03 14:00,0.14,0.4454976303317536,0.2808333333333333,0.0613810741687979,0.0,0.612
01-03 15:00,0.132,0.4296998420221169,0.3372222222222222,0.0511508951406649,0.0,0.6639999999999999
01-03 16:00,0.172,0.4233807266982622,0.0,0.0025575447570332,0.0,0.668
01-03 17:00,0.172,0.4028436018957346,0.7947222222222223,0.0204603580562659,0.0,0.753
01-03 18:00,0.216,0.4091627172195893,0.1327777777777777,0.0204603580562659,0.0,0.733
01-03 19:00,0.244,0.4218009478672986,0.0,0.0076726342710997,0.0,0.655
01-03 20:00,0.22,0.4328593996840443,0.4613888888888889,0.0230179028132992,0.0,0.6789999999999999
01-03 21:00,0.196,0.4454976303317536,0.5477777777777778,0.0332480818414322,0.0,0.74
01-03 22:00,0.196,0.4502369668246446,0.7058333333333333,0.0971867007672634,0.0,0.7889999999999999
01-03 23:00,0.112,0.4581358609794629,0.653888888888889,0.1227621483375959,0.0,0.81
