date,PM,temperature,direction,velocity,rain,humidity
01-01 00:00,0.096,0.1311216429699842,0.0713888888888888,0.0153452685421994,0.0,0.8470000000000001
01-01 01:00,0.088,0.1406003159557662,0.3191666666666667,0.0179028132992327,0.0,0.851
01-01 02:00,0.072,0.1374407582938388,0.1369444444444444,0.0179028132992327,0.0,0.846
01-01 03:00,0.084,0.1311216429699842,0.0305555555555555,0.0153452685421994,0.0,0.848
01-01 04:00,0.096,0.1406003159557662,0.0,0.0076726342710997,0.0,0.853
01-01 05:00,0.076,0.1532385466034755,0.2980555555555556,0.0179028132992327,0.0,0.859
01-01 06:00,0.088,0.1437598736176935,0.0294444444444444,0.0153452685421994,0.0,0.854
01-01 07:00,0.096,0.1816745655608214,0.2663888888888889,0.0204603580562659,0.0,0.879
01-01 08:00,0.116,0.2148499210110584,0.0919444444444444,0.0230179028132992,0.0,0.881
01-01 09:00,0.1,0.2559241706161137,0.2144444444444444,0.0460358056265984,0.0,0.603
01-01 10:00,0.048,0.278041074249605,0.0952777777777777,0.0179028132992327,0.0,0.5359999999999999
01-01 11:00,0.06,0.2906793048973144,0.1080555555555555,0.0332480818414322,0.0,0.515
01-01 12:00,0.044,0.2954186413902054,0.1633333333333333,0.0255754475703324,0.0,0.494
01-01 13:00,0.044,0.3191153238546603,0.1383333333333333,0.0153452685421994,0.0,0.483
01-01 14:00,0.048,0.3238546603475514,0.3208333333333333,0.0179028132992327,0.0,0.472
01-01 15:00,0.048,0.3143759873617693,0.0,0.0102301790281329,0.0,0.444
01-01 16:00,0.048,0.2764612954186414,0.4541666666666666,0.0204603580562659,0.0,0.5790000000000001
01-01 17:00,0.048,0.2543443917851501,0.2875,0.0179028132992327,0.0,0.6759999999999999
01-01 18:00,0.052,0.2432859399684044,0.2972222222222222,0.0204603580562659,0.0,0.735
01-01 19:00,0.052,0.2432859399684044,0.1027777777777777,0.0230179028132992,0.0,0.766
01-01 20:00,0.064,0.2559241706161137,0.2755555555555555,0.0127877237851662,0.0,0.741
01-01 21:00,0.076,0.2606635071090047,0.7777777777777778,0.0127877237851662,0.0,0.754
01-01 22:00,0.084,0.2575039494470774,0.7936111111111112,0.0179028132992327,0.0,0.755
01-01 23:00,0.1,0.2622432859399684,0.9611111111111112,0.0127877237851662,0.0,0.7570000000000001
