연도,일시,지점,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
0,01-01 00:00,유구,0.1579778830963665,0.6722222222222223,0.015345268542199487,0.0,0.878
0,01-01 01:00,유구,0.1753554502369668,0.24722222222222223,0.023017902813299233,0.0,0.874
0,01-01 02:00,유구,0.1769352290679305,0.08833333333333333,0.04603580562659847,0.0,0.8770000000000001
0,01-01 03:00,유구,0.1769352290679305,0.09527777777777777,0.01278772378516624,0.0,0.887
0,01-01 04:00,유구,0.1453396524486572,0.8466666666666667,0.023017902813299233,0.0,0.892
0,01-01 05:00,유구,0.1137440758293839,0.0,0.007672634271099744,0.0,0.878
0,01-01 06:00,유구,0.08372827804107419,0.0,0.005115089514066497,0.0,0.864
0,01-01 07:00,유구,0.1153238546603475,0.0,0.007672634271099744,0.0,0.873
0,01-01 08:00,유구,0.1721958925750395,0.0,0.0025575447570332483,0.0,0.8939999999999999
0,01-01 09:00,유구,0.21958925750394945,0.5044444444444445,0.015345268542199487,0.0,0.901
0,01-01 10:00,유구,0.2511848341232228,0.12638888888888888,0.0690537084398977,0.0,0.6589999999999999
0,01-01 11:00,유구,0.27804107424960506,0.7991666666666667,0.05370843989769821,0.0,0.547
0,01-01 12:00,유구,0.2906793048973144,0.9036111111111111,0.030690537084398974,0.0,0.524
0,01-01 13:00,유구,0.292259083728278,0.8980555555555556,0.0690537084398977,0.0,0.497
0,01-01 14:00,유구,0.29383886255924174,0.8205555555555555,0.0639386189258312,0.0,0.506
0,01-01 15:00,유구,0.26224328593996843,0.8130555555555555,0.015345268542199487,0.0,0.606
0,01-01 16:00,유구,0.22906793048973145,0.0,0.010230179028132993,0.0,0.833
0,01-01 17:00,유구,0.2037914691943128,0.0,0.007672634271099744,0.0,0.8620000000000001
0,01-01 18:00,유구,0.18009478672985782,0.7838888888888889,0.020460358056265986,0.0,0.888
0,01-01 19:00,유구,0.2006319115323855,0.0,0.0025575447570332483,0.0,0.853
0,01-01 20:00,유구,0.21169036334913113,0.0,0.010230179028132993,0.0,0.8320000000000001
0,01-01 21:00,유구,0.21958925750394945,0.0,0.0025575447570332483,0.0,0.843
0,01-01 22:00,유구,0.22432859399684046,0.0,0.0,0.0,0.848
0,01-01 23:00,유구,0.2306477093206951,0.0,0.0025575447570332483,0.0,0.836
0,01-02 00:00,유구,0.2353870458135861,0.0,0.005115089514066497,0.0,0.868
0,01-02 01:00,유구,0.24170616113744078,0.0,0.0025575447570332483,0.0,0.864
0,01-02 02:00,유구,0.24802527646129544,0.0,0.0,0.0,0.88
0,01-02 03:00,유구,0.2511848341232228,0.0,0.0025575447570332483,0.0,0.8989999999999999
0,01-02 04:00,유구,0.2543443917851501,0.0,0.007672634271099744,0.0,0.907
0,01-02 05:00,유구,0.2559241706161137,0.7133333333333334,0.017902813299232736,0.0,0.9039999999999999
0,01-02 06:00,유구,0.2543443917851501,0.0,0.005115089514066497,0.0,0.9039999999999999
0,01-02 07:00,유구,0.2669826224328594,0.0,0.007672634271099744,0.0,0.9
0,01-02 08:00,유구,0.29857819905213273,0.0,0.0025575447570332483,0.0,0.876
0,01-02 09:00,유구,0.3285939968404424,0.2733333333333334,0.01278772378516624,0.0,0.844
0,01-02 10:00,유구,0.37440758293838866,0.0,0.0025575447570332483,0.0,0.706
0,01-02 11:00,유구,0.39810426540284366,0.0,0.010230179028132993,0.0,0.628
0,01-02 12:00,유구,0.42496050552922593,0.46416666666666667,0.01278772378516624,0.0,0.604
0,01-02 13:00,유구,0.42338072669826227,0.5519444444444445,0.04603580562659847,0.0,0.594
0,01-02 14:00,유구,0.4360189573459716,0.8266666666666668,0.04859335038363171,0.0,0.606
0,01-02 15:00,유구,0.3854660347551343,0.8716666666666667,0.023017902813299233,0.0,0.714
0,01-02 16:00,유구,0.344391785150079,0.0,0.0025575447570332483,0.0,0.881
0,01-02 17:00,유구,0.30173775671406006,0.0,0.0025575447570332483,0.0,0.912
0,01-02 18:00,유구,0.2875197472353871,0.0,0.005115089514066497,0.0,0.928
0,01-02 19:00,유구,0.25750394944707744,0.29055555555555557,0.01278772378516624,0.0,0.91
0,01-02 20:00,유구,0.25750394944707744,0.0,0.0025575447570332483,0.0,0.898
